2006-01-01	176
2006-02-01	278
2006-03-01	206
2006-04-01	47
2006-05-01	32
2006-06-01	13
2006-07-01	5
2006-08-01	0
2006-09-01	9
2006-10-01	0
2006-11-01	5
2006-12-01	172
2007-01-01	48
2007-02-01	125
2007-03-01	87
2007-04-01	28
2007-05-01	41
2007-06-01	23
2007-07-01	43
2007-08-01	158
2007-09-01	30
2007-10-01	47
2007-11-01	18
2007-12-01	111
2008-01-01	0
2008-02-01	0
2008-03-01	7
2008-04-01	13
2008-05-01	18
2008-06-01	0
2008-07-01	0
2008-08-01	1014
2008-09-01	205
2008-10-01	74
2008-11-01	27
2008-12-01	22
2009-01-01	22
2009-02-01	18
2009-03-01	5
2009-04-01	0
2009-05-01	69
2009-06-01	0
2009-07-01	5
2009-08-01	5
2009-09-01	0
2009-10-01	0
2009-11-01	0
2009-12-01	43
2010-01-01	110
2010-02-01	39
2010-03-01	101
2010-04-01	158
2010-05-01	667
2010-06-01	253
2010-07-01	252
2010-08-01	65
2010-09-01	84
2010-10-01	249
2010-11-01	150
2010-12-01	201
2011-01-01	1996
2011-02-01	2515
2011-03-01	2238
2011-04-01	3854
2011-05-01	1777
2011-06-01	4108
2011-07-01	3750
2011-08-01	3992
2011-09-01	1904
2011-10-01	1650
2011-11-01	796
2011-12-01	958
2012-01-01	888
2012-02-01	577
2012-03-01	346
2012-04-01	346
2012-05-01	81
2012-06-01	23
